reviewText,texto_limpio,sentimiento,target
"Not much to write about here, but it does exactly what it's supposed to. filters out the pop sounds. now my recordings are much more crisp. it is one of the lowest prices pop filters on amazon so might as well buy it, they honestly work the same despite their pricing,",not much write exactly supposed filter pop sound recording much crisp one lowest price pop filter amazon might well buy honestly work despite pricing,positivo,1
"The product does exactly as it should and is quite affordable.I did not realized it was double screened until it arrived, so it was even better than I had expected.As an added bonus, one of the screens carries a small hint of the smell of an old grape candy I used to buy, so for reminiscent's sake, I cannot stop putting the pop filter next to my nose and smelling it after recording. :DIf you needed a pop filter, this will work just as well as the expensive ones, and it may even come with a pleasing aroma like mine did!Buy this product! :]",product exactly quite affordable not realized double screened arrived even better expected added bonus one screen carry small hint smell old grape candy used buy reminiscent sake cannot stop putting pop filter next nose smelling recording dif needed pop filter work well expensive one may even come pleasing aroma like mine buy product,positivo,1
"The primary job of this device is to block the breath that would otherwise produce a popping sound, while allowing your voice to pass through with no noticeable reduction of volume or high frequencies. The double cloth filter blocks the pops and lets the voice through with no coloration. The metal clamp mount attaches to the mike stand secure enough to keep it attached. The goose neck needs a little coaxing to stay where you put it.",primary job device block breath would otherwise produce popping sound allowing voice pas no noticeable reduction volume high frequency double cloth filter block pop let voice no coloration metal clamp mount attache mike stand secure enough keep attached goose neck need little coaxing stay put,positivo,1
Nice windscreen protects my MXL mic and prevents pops. Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.,nice windscreen protects mxl mic prevents pop thing gooseneck marginally able hold screen position requires careful positioning clamp avoid sagging,positivo,1
This pop filter is great. It looks and performs like a studio filter. If you're recording vocals this will eliminate the pops that gets recorded when you sing.,pop filter great look performs like studio filter recording vocal eliminate pop get recorded sing,positivo,1
"So good that I bought another one.  Love the heavy cord and gold connectors.  Bass sounds great.  I just learned last night how to coil them up.  I guess I should read instructions more carefully.  But no harm done, still works great!",good bought another one love heavy cord gold connector bass sound great learned last night coil guess read instruction carefully no harm done still work great,positivo,1
"I have used monster cables for years, and with good reason. The lifetime warranty is worth the price alone. Simple fact: cables break, but getting to replace them at no cost is where it's at.",used monster cable year good reason lifetime warranty worth price alone simple fact cable break getting replace no cost,positivo,1
Perfect for my Epiphone Sheraton II.  Monster cables are well constructed.  I have several and never had any problems with any of them over the years.  Got this one because I wanted the 90 degree plug.,perfect epiphone sheraton ii monster cable well constructed several never problem year got one wanted degree plug,positivo,1
Monster makes the best cables and a lifetime warranty doesnt hurt either. This isnt their top of the line series but it works great with my bass guitar rig and has for some time. You cant go wrong with Monster Cables.,monster make best cable lifetime warranty doesnt hurt either isnt top line series work great bass guitar rig time cant go wrong monster cable,positivo,1
"Monster makes a wide array of cables, including some that are very high end. I initially purchased a pair ofMonster Rock Instrument Cable - 21 Feet - Angled to Straight 1/4-Inch plugto use with my keyboards, but when it came time to purchase cables for my bass and guitar I thought I'd pinch a few pennies.  I am so glad I did.I compared this cable model to the more expensive models I previously purchased and, aside from looks, could not detect any difference in sound. I Swapped back and forth between my guitars and keyboards, ensuring that each model was used on each instrument - still no difference.What the more expensive model has going for it is looks. I am not sure it (the higher priced model) is even more sturdy because the molded stress relief ends on this model seem to make it more reliable than its pricier sibling.Bottom line: carefully compare both cables using your own instrument and amp - if possible - before making a purchase decision. You may find, as I did, that higher price does not necessarily equal higher value, even from the same manufacturer.",monster make wide array cable including high end initially purchased pair ofmonster rock instrument cable foot angled straight inch plugto use keyboard came time purchase cable bass guitar thought pinch penny glad compared cable model expensive model previously purchased aside look could not detect difference sound swapped back forth guitar keyboard ensuring model used instrument still no difference expensive model going look not sure higher priced model even sturdy molded stress relief end model seem make reliable pricier sibling bottom line carefully compare cable using instrument amp possible making purchase decision may find higher price not necessarily equal higher value even manufacturer,positivo,1
